gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.8047,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,0.19,193.97
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.8988,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,0.37,193.2
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.9871,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0195,0.74,195.58
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,4.909,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0332,1.5,210.47
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.0335,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0254,2.92,228.26
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,5.1884,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0303,5.66,266.05
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.7902,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0349,10.14,318.33
gfx950,256,128,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,7.0941,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0305,16.55,390.31
gfx950,256,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,12,8.9754,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.013,0.61,615.03
gfx950,256,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,8.9456,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0169,1.23,618.77
gfx950,256,4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,8.9619,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0286,2.46,621.01
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,9.1195,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0212,4.83,616.9
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,8.9719,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0311,9.82,640.52
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,9.0511,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0295,19.46,661.62
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,9.6304,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0296,36.58,672.01
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,9,12.3019,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0234,57.28,604.65
gfx950,256,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,9.9046,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0176,0.74,742.62
gfx950,256,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,12,10.0203,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0195,1.47,735.58
gfx950,256,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,9.9636,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0269,2.95,742.85
gfx950,256,8,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,9.9734,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0205,5.89,748.28
gfx950,256,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,10.2487,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0231,11.46,740.17
gfx950,256,32,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,11,10.1434,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0245,23.16,772.08
gfx950,256,64,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,11,10.7332,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0262,43.77,775.45
gfx950,256,128,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,7,13.5032,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0205,69.58,689.18
gfx950,256,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,8,12.9776,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0215,1.13,1132.45
gfx950,256,2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,7,12.8611,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0176,2.28,1143.98
gfx950,256,4,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,8,12.9275,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0229,4.54,1140.64
gfx950,256,8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,7,12.9128,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0173,9.09,1147.01
